account_number,ifsc_code,balance,account_type
IE05AZZE30750017074463,CLBL0000091,2660,Savings
IE95TXME58104433220288,CLBL0000093,1348,Savings
IE31BAQU22904921528994,CLBL0000094,1027,Current
IE98LWRW83524516454072,CLBL0000095,1839,Savings
IE78THJI88162806838755,CLBL0000096,9800,Current
IE07OPXP92962503505045,CLBL0000097,7326,Savings
IE92KRRT24270110839797,CLBL0000098,9389,Current
IE72CLXG84563543460173,CLBL0000099,509,Savings
IE77DRZS75031065564559,CLBL0000100,3709,Current
IE26EJRC81181208838723,CLBL0000101,7057,Savings
